experiment,run,seed,split,corruption,task,model,auc,closure_auc,closure_delta_vs_best_nonclosure,best_nonclosure,steps,n,dim,hidden,iters,params,rel_mode,directed,use_memory,memory_slots,memory_beta,memory_strength
per_graph,karate,0,karate,OOD,path2,deep_big,0.556205990452016,0.553629748413248,-0.03369429818591052,cn,120,32,48,64,5,51587,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,comm,deep_big,0.5443630619456178,0.5851587981598676,0.033689403430999576,pair,120,32,48,64,5,51587,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,edge,gcn,0.771416500357951,0.6711933894057541,-0.1018778190114884,deep_big,120,32,48,64,5,29507,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,path2,gcn,0.5638276821363906,0.553629748413248,-0.03369429818591052,cn,120,32,48,64,5,29507,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,comm,gcn,0.534415891442956,0.5851587981598676,0.033689403430999576,pair,120,32,48,64,5,29507,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,edge,closure,0.6711933894057541,0.6711933894057541,-0.1018778190114884,deep_big,120,32,48,64,5,73331,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,path2,closure,0.553629748413248,0.553629748413248,-0.03369429818591052,cn,120,32,48,64,5,73331,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,comm,closure,0.5851587981598676,0.5851587981598676,0.033689403430999576,pair,120,32,48,64,5,73331,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,edge,closure_no_tri,0.7337750457381784,0.6711933894057541,-0.1018778190114884,deep_big,120,32,48,64,5,67187,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,path2,closure_no_tri,0.5082366846977776,0.553629748413248,-0.03369429818591052,cn,120,32,48,64,5,67187,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,comm,closure_no_tri,0.5374772544101446,0.5851587981598676,0.033689403430999576,pair,120,32,48,64,5,67187,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,edge,closure_no_mem,0.6960873370811207,0.6711933894057541,-0.1018778190114884,deep_big,120,32,48,64,5,60275,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,path2,closure_no_mem,0.5578935203678175,0.553629748413248,-0.03369429818591052,cn,120,32,48,64,5,60275,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,comm,closure_no_mem,0.5816495303800464,0.5851587981598676,0.033689403430999576,pair,120,32,48,64,5,60275,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,edge,closure_i1,0.7356363651399079,0.6711933894057541,-0.1018778190114884,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,path2,closure_i1,0.5722519438692165,0.553629748413248,-0.03369429818591052,cn,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,comm,closure_i1,0.5258145418514969,0.5851587981598676,0.033689403430999576,pair,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,edge,closure_i2,0.7448854074537282,0.6711933894057541,-0.1018778190114884,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,path2,closure_i2,0.569827483145938,0.553629748413248,-0.03369429818591052,cn,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,comm,closure_i2,0.5520411161676798,0.5851587981598676,0.033689403430999576,pair,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,edge,closure_i3,0.6740056976814701,0.6711933894057541,-0.1018778190114884,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,path2,closure_i3,0.5344465218794057,0.553629748413248,-0.03369429818591052,cn,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,comm,closure_i3,0.5843639971007742,0.5851587981598676,0.033689403430999576,pair,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,edge,closure_i5,0.6711933894057541,0.6711933894057541,-0.1018778190114884,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,path2,closure_i5,0.553629748413248,0.553629748413248,-0.03369429818591052,cn,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,karate,0,karate,OOD,comm,closure_i5,0.5851587981598676,0.5851587981598676,0.033689403430999576,pair,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,edge,raw,0.8438295231899259,0.9116478124620331,-0.003100699184626965,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,path2,raw,0.7360190832408939,0.6053918825641105,-0.18509303477139727,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,comm,raw,0.6672910619717121,0.6572872744324164,-0.04552200362702352,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,edge,cn,0.835597055285666,0.9116478124620331,-0.003100699184626965,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,path2,cn,0.7862261355711153,0.6053918825641105,-0.18509303477139727,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,comm,cn,0.6590949465443467,0.6572872744324164,-0.04552200362702352,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,edge,jaccard,0.7684418125937974,0.9116478124620331,-0.003100699184626965,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,path2,jaccard,0.7904849173355077,0.6053918825641105,-0.18509303477139727,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,comm,jaccard,0.7028092780594399,0.6572872744324164,-0.04552200362702352,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,edge,spectral,0.7380085580964699,0.9116478124620331,-0.003100699184626965,deep_big,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,path2,spectral,0.662356713962914,0.6053918825641105,-0.18509303477139727,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,comm,spectral,0.6672910619717121,0.6572872744324164,-0.04552200362702352,jaccard,120,32,48,64,5,-1,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,edge,pair,0.8438295231899259,0.9116478124620331,-0.003100699184626965,deep_big,120,32,48,64,5,4483,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,path2,pair,0.5718043240469326,0.6053918825641105,-0.18509303477139727,jaccard,120,32,48,64,5,4483,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,comm,pair,0.6527812455278404,0.6572872744324164,-0.04552200362702352,jaccard,120,32,48,64,5,4483,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,edge,deep,0.8577488922422809,0.9116478124620331,-0.003100699184626965,deep_big,120,32,48,64,5,9347,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,path2,deep,0.526196491458373,0.6053918825641105,-0.18509303477139727,jaccard,120,32,48,64,5,9347,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,comm,deep,0.6089115235088204,0.6572872744324164,-0.04552200362702352,jaccard,120,32,48,64,5,9347,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,edge,deep_big,0.91474851164666,0.9116478124620331,-0.003100699184626965,deep_big,120,32,48,64,5,51587,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,path2,deep_big,0.6779027014069061,0.6053918825641105,-0.18509303477139727,jaccard,120,32,48,64,5,51587,raw,0,1,16,2.0,0.2
per_graph,lesmis,0,lesmis,IN,comm,deep_big,0.6308294415584821,0.6572872744324164,-0.04552200362702352,jaccard,120,32,48,64,5,51587,raw,0,1,16,2.0,0.2
